,Heating,Cooling,Country
2847,88791.62,5408.61,CHN
2848,4207.62,29355.61,USA
2849,0,46236.77,IND
2850,2439.94,23773.86,USA
2851,69477.49,7106.46,USA
2852,80136.69,7316.16,USA
2853,18201.95,17397.4,CHN
2854,134769.11,2378.46,MNG
2855,0,40347.62,CUB
2856,0,44914.07,BRA
2857,3152.04,22222.86,CHN
2858,12357.54,13726.48,USA
2859,31878.41,9530.23,USA
2860,4303.36,3973.62,NZL
2861,2871.93,19495.15,IND
2862,3440.55,6370.25,USA
2863,3848.44,29092.13,USA
2864,6439.71,8502.26,ITA
2865,35759.08,14338.49,USA
2866,17052.66,16542.71,USA
2867,24211.4,14999.3,CHN
2868,44137.77,11441.52,USA
2869,0,45190.38,BRA
2870,2389.45,25819.97,USA
2871,61906.05,6461.35,USA
2872,34958.95,7991.33,USA
2873,35339.4,5833.44,USA
2874,49056.1,8437.18,USA
2875,9884.14,15404.69,CHN
2876,0,32501.65,BRA
2877,3.85,24930.31,BRA
2878,150423.27,24.89,USA
2879,4738.98,22681.79,USA
2880,4374.81,16950.78,ARG
2881,101337.1,4239.31,USA
2882,50483.96,2880.53,DEU
2883,23214.76,9196.35,USA
2884,67997.8,1159.01,USA
2885,0,46966.28,LKA
2886,54556.88,6843.38,USA
2887,3859.78,17762.53,ARG
2888,2570.83,24069.5,CHN
2889,17539.27,6070.5,AUS
2890,8629,9229.65,ITA
2891,58475.05,2893.76,CHN
2892,69094.37,6668.24,USA
2893,15257.49,13901.75,USA
2894,56002.8,5397.3,USA
2895,39681.71,6433.63,USA
2896,5347.68,5507.96,BRA
2897,43899.55,4649.56,USA
2898,63719.02,8138.2,USA
2899,52432.67,7251.14,USA
2900,3735,9372.21,BRA
2901,8354.64,19746.16,CHN
2902,155241.26,867.66,USA
2903,264.68,15305.08,BRA
2904,58323.72,4158.93,USA
2905,58855.08,9212.65,CHN
2906,201611.85,207.3,USA
2907,67750.08,837.16,USA
2908,26208.72,17134.37,USA
2909,194.61,38143.22,AUS
2910,19120.88,8012.48,TUR
2911,799.26,12336.62,BRA
2912,1967.77,22906.09,ARG
2913,15643.66,13225.45,USA
2914,26099.08,13989.84,USA
2915,34425.87,9981.78,USA
2916,143010.4,328.69,SWE
2917,114922.17,5051.63,CHN
2918,28.21,22388.35,BRA
2919,100484.4,310.42,USA
2920,63475.87,4250.58,USA
2921,77.49,33798.25,CUB
2922,24739.24,13074.72,USA
2923,81707.07,18.81,USA
2924,0,32371.44,BRA
2925,53856.38,520.52,USA
2926,50358.83,1330.98,POL
2927,8090.91,5361.14,CZ05RV2.htm
2928,85694.87,3021.13,USA
2929,27213.39,10116.57,USA
2930,30998.75,7176.17,ITA
2931,7377.53,10390.73,AUS
2932,42637.33,10384.13,CHN
2933,211.6,42378.4,BGD
2934,0,48353.57,LKA
2935,57952.45,10110.67,USA
2936,25139.15,7494.87,USA
2937,3475.54,23753.11,CHN
2938,11949.17,25778.88,USA
2939,5680.92,7082.94,ESP
2940,101606.29,5876.73,CHN
2941,5632.23,22768.27,USA
2942,95878.16,6092.42,CHN
2943,60595.21,3286.95,CHN
2944,2385.11,21988.59,EGY
2945,21703.01,13215.87,CHN
2946,79.93,10226.07,BRA
2947,39768.83,447.47,GBR
2948,91320.43,5918.24,CHN
2949,12146.49,20765.46,USA
2950,7911.37,5856.67,CHN
2951,6345.14,8692.5,ITA
2952,84934.66,4509.92,CAN
2953,33470.55,2712.52,CHN
2954,0,39547.93,BRA
2955,25.09,15741.71,BRA
2956,36295.64,14313.73,USA
2957,24.16,31455.58,CUB
2958,38598.4,5429.72,ITA
2959,20032.61,13837.23,USA
2960,40935.87,5062.95,USA
2961,7738.37,5321.6,BRA
