,LOCATION,ID,CZ,Heating,Cooling,Country,File_name,Total Energy
1020,MIDDLETOWN HARRISBURG INTL AP,725115,4A,37915.97,8743.97,USA,USA_PA_Harrisburg.725115_TMY2,46659.94
1021,PHILADELPHIA INTERNATIONAL AP,724080,4A,31888.37,10137.05,USA,USA_PA_Philadelphia.Intl.AP.724080_TMY3,42025.42
1022,PHILADELPHIA INTERNATIONAL AP,724080,4A,34225.01,8613.34,USA,USA_PA_Philadelphia.Intl.AP.724080_TMY,42838.35
1023,PHILADELPHIA NE PHILADELPHIA,724085,4A,32337.67,10237.17,USA,USA_PA_Philadelphia-NE.Philadelphia.AP.724085_TMY3,42574.84
1024,PITTSBURGH ALLEGHENY CO AP,725205,5A,35339.4,5833.44,USA,USA_PA_Pittsburgh-Allegheny.County.AP.725205_TMY3,41172.84
1025,PITTSBURGH INTERNATIONAL AP,725200,5A,47344.98,5907.63,USA,USA_PA_Pittsburgh.Intl.AP.725200_TMY,53252.61
1026,PITTSBURGH INTERNATIONAL AP,725200,5A,45022.57,6617.85,USA,USA_PA_Pittsburgh.725200_TMY2,51640.42
1027,PITTSBURGH INTERNATIONAL AP,725200,5A,43417.15,7285.75,USA,USA_PA_Pittsburgh.Intl.AP.725200_TMY3,50702.9
1028,READING SPAATZ FIELD,725103,4A,35713.06,8947.84,USA,USA_PA_Reading.Mem.AP-Spaatz.Field.725103_TMY3,44660.9
1029,WASHINGTON (AWOS),725117,5A,38763.7,6788.42,USA,USA_PA_Washington.AWOS.725117_TMY3,45552.12
1030,WILKES-BARRE SCRANTON INTL AP,725130,5A,47972.17,5849.02,USA,USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY,53821.19
1031,WILKES-BARRE SCRANTON INTL AP,725130,5A,52992.4,5985.91,USA,USA_PA_Wilkes.Barre-Scranton.725130_TMY2,58978.31
1032,WILKES-BARRE SCRANTON INTL AP,725130,5A,45092.08,6286.67,USA,USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3,51378.75
1033,WILLIAMSPORT REGIONAL AP,725140,5A,42364.8,7666.35,USA,USA_PA_Williamsport.Rgnl.AP.725140_TMY3,50031.15
1034,WILLIAMSPORT REGIONAL AP,725140,5A,47158.25,6852.01,USA,USA_PA_Williamsport.725140_TMY2,54010.26
1035,WILLOW GROVE NAS,724086,4A,28166.63,9220.41,USA,USA_PA_Willow.Grove.NAS.724086_TMY3,37387.04
1036,WILLOW GROVE NAS,724086,4A,36401.26,8890.5,USA,USA_PA_Philadelphia.724086_TMY2,45291.76
1037,BLOCK ISLAND STATE ARPT,725058,5A,29488.27,4398.66,USA,USA_RI_Block.Island.State.AP.725058_TMY3,33886.93
1038,PAWTUCKET (AWOS),725054,5A,46780.97,5745.74,USA,USA_RI_Pawtucket.AWOS.725054_TMY3,52526.71
1039,PROVIDENCE T F GREEN STATE AR,725070,5A,42785.15,6194.83,USA,USA_RI_Providence.725070_TMY2,48979.98
1040,PROVIDENCE T F GREEN STATE AR,725070,5A,45043.82,5497.52,USA,USA_RI_Providence-T.F.Green.State.AP.725070_TMY,50541.34
