,Heating,Cooling,Country,File_name,ID
2963,84844.44,1.89,USA,USA_AK_Shemya.AFB.704140_TMY3,704140
2964,62450.27,7799.36,USA,USA_IL_Aurora.Muni.AP.744655_TMY3,744655
2965,53203.06,419.72,CAN,CAN_BC_Prince.Rupert.718980_CWEC,718980
2966,105046.72,5778.97,CHN,CHN_Jilin.Baicheng.509360_CSWD,509360
2967,30786.2,6263.42,USA,USA_NJ_Teterboro.AP.725025_TMY3,725025
2968,25965.56,14338.96,USA,USA_OK_Oklahoma.City.723530_TMY2,723530
2969,11346.68,8746.76,ITA,ITA_Bari-Palese.Macchie.162700_IGDG,162700
2970,9526.87,17669.48,CHN,CHN_Guangxi.Zhuang.Guilin.579570_CSWD,579570
2971,139.34,24606.01,BRA,BRA_MS_Tres.Lagoas.AP.868130_INMET,868130
2972,3254.02,6898.83,USA,USA_CA_Los.Angeles.Intl.AP.722950_TMY,722950
2973,0.44,25127.03,BRA,BRA_ES_Linhares.868050_INMET,868050
2974,4998.84,29086.03,USA,USA_AZ_Phoenix.722780_TMY2,722780
2975,3585.64,8495.12,USA,USA_CA_San.Diego-Montgomery.Field.722903_TMY3,722903
2976,11705.08,18912.32,USA,USA_TX_Tyler-Pounds.Field.722448_TMY3,722448
2977,49249.38,11284.74,USA,USA_IA_Chariton.Muni.AP.725469_TMY3,725469
2978,4.26,24904.73,BRA,BRA_PI_Caracol.819880_INMET,819880
2979,22440.19,11078.48,USA,USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170_TMY,723170
2980,89818.74,4699.39,CHN,CHN_Nei.Mongol.Jurh.532760_CSWD,532760
2981,0,37196.87,HND,HND_La.Ceiba-Goloson.787050_SWERA,787050
2982,22590.01,3181.7,USA,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3,727930
2983,22041.88,17547.57,USA,USA_MS_Columbus.AFB.723306_TMY3,723306
2984,12.59,26760.74,USA,USA_HI_Barbers.Point.NAS.911780_TMY,911780
2985,35579.57,12729.95,USA,USA_KS_Liberal.Muni.AP.724516_TMY3,724516
2986,7562.34,21923.71,USA,USA_TX_San.Antonio.Intl.AP.722530_TMY,722530
2987,10312.7,3923.29,USA,USA_CA_Santa.Maria.Public.AP.723940_TMY,723940
2988,134058.87,3393.75,RUS,RUS_Omsk.286980_IWEC,286980
2989,35829.81,7983.27,USA,USA_ID_Boise.Air.Terminal.726810_TMY,726810
2990,49648.39,5203.32,USA,USA_ID_Coeur.dAlene.AWOS.727834_TMY3,727834
2991,16772.28,11483.29,USA,USA_NC_Winston.Salem-Smith.Reynolds.AP.723193_TMY3,723193
2992,97471.26,2468.08,CAN,CAN_PQ_Riviere.du.Loup.717150_CWEC,717150
2993,9062.35,26113.11,USA,USA_NV_Nellis.AFB.723865_TMY3,723865
2994,158710.06,847.24,USA,USA_AK_Gulkana.702710_TMY2,702710
2995,29102.1,13341.66,USA,USA_OK_Bartlesville-Phillips.Field.723565_TMY3,723565
2996,14389.11,2013.5,ESP,ESP_San.Sebastian.080270_SWEC,80270
2997,40908.63,5111.58,SVK,SVK_Bratislava.118160_IWEC,118160
2998,152.96,45330.77,IND,IND_Ahmedabad.426470_IWEC,426470
2999,49906.67,2729.68,POL,POL_Wielun.124550_IMGW,124550
3000,7575.62,6317.06,CHN,CHN_Yunnan.Tengchong.567390_CSWD,567390
3001,20313.87,4001.1,USA,USA_WA_Renton.Muni.AP.727934_TMY3,727934
3002,19907.79,14286.63,USA,USA_NM_Roswell.Industrial.Air.Park.722680_TMY,722680
3003,4445.42,8969.88,USA,USA_CA_Long.Beach-Daugherty.Field.722970_TMY,722970
3004,11756.36,17878.56,USA,USA_TX_El.Paso.Intl.AP.722700_TMY,722700
3005,14227.4,17422.16,CHN,CHN_Jiangxi.Nancheng.587150_CSWD,587150
3006,7056.1,21953.75,USA,USA_AZ_Tucson.Intl.AP.722740_TMY,722740
3007,29734.13,7974.1,BGR,BGR_Plovdiv.156250_IWEC,156250
